contents,lower_contents
 hi, hi
 hi, hi
 Hi, hi
 hi, hi
 Hi, hi
 hi, hi
 Hi, hi
 HI, hi
 Hi, hi
 Hi, hi
 hi, hi
 hi, hi
 hi, hi
 hi, hi
 hi, hi
 Hi, hi
 hi, hi
 hi, hi
 hi, hi
 Hi, hi
 Hi, hi
 hi, hi
 hi, hi
 hi, hi
 Hi, hi
 hi, hi
 Hi, hi
 hi, hi
 hi, hi
 hi, hi
 hi, hi
 hi, hi
 hi, hi
 Hi, hi
 hi, hi
 Hi, hi
 Hi, hi
 hi, hi
 hi, hi
 Hi, hi
 hi, hi
 hi, hi
 hi, hi
 Hi, hi
 Hi, hi
 hi, hi
 hi, hi
 hi, hi
 hi, hi
 hi, hi
 hi, hi
 Hi, hi
 Hi, hi
 HI, hi
 Hi, hi
 Hi, hi
 hi, hi
 hi, hi
 HI, hi
 HI, hi
 hi, hi
 hi, hi
 hi, hi
 Hi, hi
 hi, hi
 Hi, hi
 hi, hi
 Hi, hi
 hi, hi
 hi, hi
 Hi, hi
 hi, hi
 hi, hi
 hi, hi
 Hi, hi
 hi, hi
 hi, hi
 hi, hi
 Hi , hi 
 Hi , hi 
 Hi , hi 
 Hi again, hi again
 Hi all, hi all
 Hi all, hi all
 hi all, hi all
 hi all!, hi all!
 hi all!, hi all!
 Hi Anthony, hi anthony
 Hi everyone, hi everyone
 Hi everyone, hi everyone
 Hi everyone!, hi everyone!
 Hi everyone! , hi everyone! 
 hi guys, hi guys
 hi lisa, hi lisa
 hi team, hi team
 Hi there, hi there
 Hi there! , hi there! 
 hi yall, hi yall
 Hi!, hi!
 Hi!, hi!
 Hi!, hi!
 Hi!, hi!
 Hi!, hi!
 Hi!, hi!
 Hi!, hi!
 Hi! , hi! 
" hi!, who do you want to elimate?"," hi!, who do you want to elimate?"
" Hi, all!"," hi, all!"
" Hi, bystanders!  Seems to me if we're smart, and we have more than the mafia, we can win this if we're smart"," hi, bystanders!  seems to me if we're smart, and we have more than the mafia, we can win this if we're smart"
" Hi, everybody!"," hi, everybody!"
" Hi, I vote for Amanda"," hi, i vote for amanda"
" Hi, this is Ricky, don't vote for me!"," hi, this is ricky, don't vote for me!"
" Hi, who do we want to take out?"," hi, who do we want to take out?"
 Hi., hi.
 Hi., hi.
 Hi. , hi. 
 HII, hii
 Hio, hio
 Hiya, hiya
 hm?, hm?
 hmm, hmm
 hmm, hmm
 hmm, hmm
 hmm, hmm
 hmm, hmm
 hmm anyone heard from Ruben?, hmm anyone heard from ruben?
 hmm hmm hmmm, hmm hmm hmmm
" hmm ok analyzing this conversation....I think bianca was a little to flippant in how she was like ""sucks to be andrew"" haha"," hmm ok analyzing this conversation....i think bianca was a little to flippant in how she was like ""sucks to be andrew"" haha"
 hmm well george kept the same person, hmm well george kept the same person
" Hmm, I think we should actually vote out Ricky. He seems too eager to kick people out."," hmm, i think we should actually vote out ricky. he seems too eager to kick people out."
" Hmm, you targeted someone so fast Cristian, ... mafia trying to point fingers? "," hmm, you targeted someone so fast cristian, ... mafia trying to point fingers? "
 hmm.., hmm..
 hmmm, hmmm
 hmmm, hmmm
 hmmm again the mob did a no kill, hmmm again the mob did a no kill
 hmmm it seems like they might go blake next round, hmmm it seems like they might go blake next round
 hmmm let's get rid of nicole I think, hmmm let's get rid of nicole i think
 Hmmm what about Jerry, hmmm what about jerry
 Hmmm..., hmmm...
 hmmmmm, hmmmmm
 Hmmmmmmm, hmmmmmmm
 hola, hola
 holy crap they killed our only lead, holy crap they killed our only lead
 hope he is mafia, hope he is mafia
 hope there's bonuses all around, hope there's bonuses all around
 Hopefully Rebecca doesn't kill me., hopefully rebecca doesn't kill me.
 How, how
 How about Jason since he voted for alyssa, how about jason since he voted for alyssa
