contents,lower_contents
" Wow, good job Michelle, still killing without retribution I see."," wow, good job michelle, still killing without retribution i see."
" Wow, looks like Jason isn't having any luck"," wow, looks like jason isn't having any luck"
 Wow., wow.
 wrong choice guys lol but good luck, wrong choice guys lol but good luck
 wrong game, wrong game
 wth, wth
 X), x)
 XD, xd
 xjfhuishf, xjfhuishf
 y?, y?
 ya this is the worst, ya this is the worst
" Ya, this is boring"," ya, this is boring"
 Y'all are lynching an innocent person, y'all are lynching an innocent person
" Yea, I agree"," yea, i agree"
 yea..., yea...
 yeah, yeah
 yeah and i don't know how?, yeah and i don't know how?
 yeah and she voted for me on her way out...the hell, yeah and she voted for me on her way out...the hell
 yeah but you had voted, yeah but you had voted
 yeah he's been the first voter twice, yeah he's been the first voter twice
 yeah i agree, yeah i agree
 Yeah I don't trust the guy, yeah i don't trust the guy
 Yeah I heard she laundered money to the Mafia along with Christina Morgan., yeah i heard she laundered money to the mafia along with christina morgan.
 Yeah I think that is a good plan, yeah i think that is a good plan
 yeah i'm mafia vote for me, yeah i'm mafia vote for me
 Yeah it is fast, yeah it is fast
 Yeah lets kill off Matthew!, yeah lets kill off matthew!
 yeah me too, yeah me too
 yeah perhaps vote her out, yeah perhaps vote her out
 yeah roberts, yeah roberts
 yeah same, yeah same
 yeah that was bad, yeah that was bad
 Yeah the timer got to zero but we aren't moving to daytime. , yeah the timer got to zero but we aren't moving to daytime. 
" yeah tons of errors in console, oh well messaging req"," yeah tons of errors in console, oh well messaging req"
 Yeah! That guy's a rat fink., yeah! that guy's a rat fink.
" Yeah, Elizabeth is lacking some compassion here. Seems like a bad guy imo."," yeah, elizabeth is lacking some compassion here. seems like a bad guy imo."
" yeah, he didn't get to say much yesterday"," yeah, he didn't get to say much yesterday"
" Yeah, I don't like her music. I'll vote for her."," yeah, i don't like her music. i'll vote for her."
" Yeah, I think William seems to be the popular choice."," yeah, i think william seems to be the popular choice."
" Yeah, never trust someone with ttwo first names."," yeah, never trust someone with ttwo first names."
" Yeah, that would be nice"," yeah, that would be nice"
" Yeah, we do. "," yeah, we do. "
" Yeah. We don't really have anything else to go on now, you know?"," yeah. we don't really have anything else to go on now, you know?"
 Yeah.. that's what all the Nazis said., yeah.. that's what all the nazis said.
 yeah...again, yeah...again
 Yeeeet, yeeeet
 yeet, yeet
 yelloooo, yelloooo
 yep, yep
 yep, yep
 Yep... are we the only mafia?, yep... are we the only mafia?
 yes, yes
 yes, yes
 yes, yes
 yes, yes
 yes, yes
 Yes, yes
 Yes, yes
 yes, yes
" YEs adam, jacob"," yes adam, jacob"
 Yes eliminate me so I can get paid and get away from you losers, yes eliminate me so i can get paid and get away from you losers
 Yes I say Daniel King, yes i say daniel king
 yes i was thinking the same, yes i was thinking the same
 yes kick her out, yes kick her out
 yes laura, yes laura
 YES!, yes!
" yes, I apologize Carla"," yes, i apologize carla"
" Yes, I clearly suck at this game.  No argument from me!  "," yes, i clearly suck at this game.  no argument from me!  "
 yesterday Danielle wanted her gone and then she disappeared at night, yesterday danielle wanted her gone and then she disappeared at night
 yip, yip
 Yo, yo
 yo, yo
 yo, yo
 yo, yo
 Yo, yo
 Yo peace Kyle, yo peace kyle
 Yo what's up, yo what's up
" yo, who do you think?"," yo, who do you think?"
 you all will see soon (shrugs), you all will see soon (shrugs)
 you are right my mistake, you are right my mistake
 You are*, you are*
 YOU ARE?!, you are?!
 you broke the seal, you broke the seal
" You can still click it, just can't change it afterwards."," you can still click it, just can't change it afterwards."
 You completely revealed yourself and they still didn't realize you where mafia the heck lol, you completely revealed yourself and they still didn't realize you where mafia the heck lol
 You couldn't have chosen Bryce in the last phase as a bystander, you couldn't have chosen bryce in the last phase as a bystander
 You did it to yourself. , you did it to yourself. 
 You don't, you don't
 you got any inclination?, you got any inclination?
 You guys are going to kill another bystander, you guys are going to kill another bystander
 you guys are kind of pushing julian, you guys are kind of pushing julian
" You guys are making a mistake killing me, I'm Donna Cook, the best bystander in the world"," you guys are making a mistake killing me, i'm donna cook, the best bystander in the world"
 you guys just killed a bystander, you guys just killed a bystander
 you just know i'm not mafia so I'm being targeted, you just know i'm not mafia so i'm being targeted
 you know jennifer hasn't said anything yet, you know jennifer hasn't said anything yet
 You obs. :), you obs. :)
 you pick, you pick
 You pick please, you pick please
 you pick this time, you pick this time
 you seem eager to throw people out, you seem eager to throw people out
" You seem to be really connected to the family, like a Targaryen."," you seem to be really connected to the family, like a targaryen."
 you should, you should
 you sound very suspicious benjamin, you sound very suspicious benjamin
 You tell me. I've got your back. , you tell me. i've got your back. 
 you were the first to ever vote., you were the first to ever vote.
 you wouldn't hurt this face!, you wouldn't hurt this face!
 Your votes keep winning., your votes keep winning.
 You're a bystander!, you're a bystander!
" you're a slow typer, maybe that means youre a mafiosa"," you're a slow typer, maybe that means youre a mafiosa"
 YOU'RE AN ALL STAR, you're an all star
" You're right, dakota isn't talking."," you're right, dakota isn't talking."
 you're very accusatory, you're very accusatory
" You're voting for yourself, Nathan?"," you're voting for yourself, nathan?"
 You'se better not be think'in of pushin' a button on Robin Lefty Rodriguez!, you'se better not be think'in of pushin' a button on robin lefty rodriguez!
" yup, have to pick someone, lol"," yup, have to pick someone, lol"
 Zachary, zachary
 zachary, zachary
" Zachary, your time has come"," zachary, your time has come"
